BatchID,BatchDate,Platform,BatchSource,TimestampCreated,TimestampUpdated
Batch-384916,2024-09-28,nanopore,Gilead,2025-01-28 17:54:28.990738,2025-01-28 17:54:28.990740
Batch-175438,2024-07-21,Illumina,Hogwarts,2025-01-28 17:54:28.990776,2025-01-28 17:54:28.990777
Batch-418520,2024-08-31,Illumina,Gilead,2025-01-28 17:54:28.990804,2025-01-28 17:54:28.990805
Batch-663374,2024-10-22,Illumina,Narnia,2025-01-28 17:54:28.990827,2025-01-28 17:54:28.990827
Batch-365621,2023-07-08,Illumina,Middle-Earth,2025-01-28 17:54:28.990852,2025-01-28 17:54:28.990853
Batch-009235,2023-08-02,nanopore,Hogwarts,2025-01-28 17:54:28.990874,2025-01-28 17:54:28.990875
Batch-234908,2024-04-19,Illumina,Gilead,2025-01-28 17:54:28.990894,2025-01-28 17:54:28.990895
Batch-276082,2023-09-04,Illumina,Hogwarts,2025-01-28 17:54:28.990914,2025-01-28 17:54:28.990914
Batch-639290,2024-11-26,Illumina,Gilead,2025-01-28 17:54:28.990940,2025-01-28 17:54:28.990940
Batch-195724,2023-03-01,Illumina,Agrabah,2025-01-28 17:54:28.990964,2025-01-28 17:54:28.990965
Batch-068462,2024-06-10,Illumina,Hogwarts,2025-01-28 17:54:28.990984,2025-01-28 17:54:28.990984
Batch-043964,2024-03-20,nanopore,Narnia,2025-01-28 17:54:28.991009,2025-01-28 17:54:28.991009
Batch-079552,2023-10-19,Illumina,Narnia,2025-01-28 17:54:28.991030,2025-01-28 17:54:28.991031
Batch-366901,2023-05-06,Illumina,Pandora,2025-01-28 17:54:28.991051,2025-01-28 17:54:28.991052
Batch-177820,2024-03-21,Illumina,Hogwarts,2025-01-28 17:54:28.991076,2025-01-28 17:54:28.991077
Batch-440167,2024-02-03,Illumina,Asgard,2025-01-28 17:54:28.991102,2025-01-28 17:54:28.991102
Batch-305783,2023-08-28,Illumina,Narnia,2025-01-28 17:54:28.991121,2025-01-28 17:54:28.991122
Batch-157631,2023-07-11,nanopore,Middle-Earth,2025-01-28 17:54:28.991141,2025-01-28 17:54:28.991142
Batch-470812,2024-12-28,Illumina,Narnia,2025-01-28 17:54:28.991166,2025-01-28 17:54:28.991166
Batch-944754,2024-01-23,Illumina,Asgard,2025-01-28 17:54:28.991190,2025-01-28 17:54:28.991190
Batch-472235,2023-05-03,nanopore,Hogwarts,2025-01-28 17:54:28.991209,2025-01-28 17:54:28.991210
Batch-504421,2023-10-16,Illumina,Hogwarts,2025-01-28 17:54:28.991228,2025-01-28 17:54:28.991229
Batch-713822,2024-05-22,nanopore,Gilead,2025-01-28 17:54:28.991248,2025-01-28 17:54:28.991249
Batch-696730,2023-08-08,Illumina,Narnia,2025-01-28 17:54:28.991267,2025-01-28 17:54:28.991268
Batch-405427,2023-02-22,nanopore,Agrabah,2025-01-28 17:54:28.991290,2025-01-28 17:54:28.991291
Batch-064757,2023-01-29,Illumina,Asgard,2025-01-28 17:54:28.991313,2025-01-28 17:54:28.991314
Batch-573545,2024-09-17,Illumina,Narnia,2025-01-28 17:54:28.991333,2025-01-28 17:54:28.991334
Batch-172409,2023-11-07,Illumina,Pandora,2025-01-28 17:54:28.991356,2025-01-28 17:54:28.991357
Batch-912956,2023-05-14,Illumina,Hogwarts,2025-01-28 17:54:28.991377,2025-01-28 17:54:28.991378
Batch-114844,2023-04-22,Illumina,Narnia,2025-01-28 17:54:28.991396,2025-01-28 17:54:28.991396
Batch-304037,2023-12-21,nanopore,Agrabah,2025-01-28 17:54:28.991419,2025-01-28 17:54:28.991419
Batch-563969,2024-06-18,Illumina,Neverland,2025-01-28 17:54:28.991437,2025-01-28 17:54:28.991438
Batch-034327,2025-01-22,Illumina,Hogwarts,2025-01-28 17:54:28.991461,2025-01-28 17:54:28.991462
Batch-854167,2023-02-18,nanopore,Panem,2025-01-28 17:54:28.991484,2025-01-28 17:54:28.991485
Batch-135948,2023-10-17,Illumina,Wakanda,2025-01-28 17:54:28.991502,2025-01-28 17:54:28.991503
Batch-848590,2024-06-14,Illumina,Hogwarts,2025-01-28 17:54:28.991521,2025-01-28 17:54:28.991522
Batch-488662,2023-02-17,nanopore,Hogwarts,2025-01-28 17:54:28.991543,2025-01-28 17:54:28.991544
Batch-794991,2024-07-03,nanopore,Narnia,2025-01-28 17:54:28.991563,2025-01-28 17:54:28.991563
Batch-312787,2024-10-20,Illumina,Gilead,2025-01-28 17:54:28.991583,2025-01-28 17:54:28.991583
Batch-654475,2023-12-17,Illumina,Pandora,2025-01-28 17:54:28.991606,2025-01-28 17:54:28.991607
Batch-968043,2024-07-01,nanopore,Hogwarts,2025-01-28 17:54:28.991626,2025-01-28 17:54:28.991627
Batch-832755,2023-04-20,Illumina,Hogwarts,2025-01-28 17:54:28.991645,2025-01-28 17:54:28.991646
Batch-906539,2024-07-28,nanopore,Hogwarts,2025-01-28 17:54:28.991664,2025-01-28 17:54:28.991665
Batch-538413,2023-08-15,Illumina,Pandora,2025-01-28 17:54:28.991683,2025-01-28 17:54:28.991684
Batch-605813,2024-12-12,nanopore,Hogwarts,2025-01-28 17:54:28.991705,2025-01-28 17:54:28.991706
Batch-867068,2024-06-13,Illumina,Middle-Earth,2025-01-28 17:54:28.991724,2025-01-28 17:54:28.991725
Batch-858427,2023-08-21,nanopore,Hogwarts,2025-01-28 17:54:28.991744,2025-01-28 17:54:28.991745
Batch-587777,2024-06-10,nanopore,Hogwarts,2025-01-28 17:54:28.991764,2025-01-28 17:54:28.991765
Batch-750686,2024-09-03,Illumina,Gilead,2025-01-28 17:54:28.991783,2025-01-28 17:54:28.991783
Batch-366448,2024-01-18,Illumina,Hogwarts,2025-01-28 17:54:28.991805,2025-01-28 17:54:28.991806
Batch-110947,2024-11-29,nanopore,Hogwarts,2025-01-28 17:54:28.991828,2025-01-28 17:54:28.991829
Batch-342053,2024-08-08,Illumina,Hogwarts,2025-01-28 17:54:28.991847,2025-01-28 17:54:28.991847
Batch-476590,2023-06-15,nanopore,Hogwarts,2025-01-28 17:54:28.991865,2025-01-28 17:54:28.991866
Batch-233554,2024-06-27,nanopore,Middle-Earth,2025-01-28 17:54:28.991885,2025-01-28 17:54:28.991885
Batch-319875,2024-12-17,Illumina,Asgard,2025-01-28 17:54:28.991908,2025-01-28 17:54:28.991908
Batch-333181,2024-07-30,nanopore,Agrabah,2025-01-28 17:54:28.991926,2025-01-28 17:54:28.991926
Batch-394705,2024-12-16,Illumina,Hogwarts,2025-01-28 17:54:28.991948,2025-01-28 17:54:28.991949
Batch-719502,2024-10-04,Illumina,Gilead,2025-01-28 17:54:28.991967,2025-01-28 17:54:28.991968
Batch-354476,2024-11-22,Illumina,Middle-Earth,2025-01-28 17:54:28.991990,2025-01-28 17:54:28.991991
Batch-836197,2023-06-27,nanopore,Hogwarts,2025-01-28 17:54:28.992009,2025-01-28 17:54:28.992009
Batch-670976,2023-10-03,Illumina,Hogwarts,2025-01-28 17:54:28.992027,2025-01-28 17:54:28.992028
Batch-187149,2024-01-18,Illumina,Narnia,2025-01-28 17:54:28.992050,2025-01-28 17:54:28.992051
Batch-272936,2024-01-29,Illumina,Narnia,2025-01-28 17:54:28.992073,2025-01-28 17:54:28.992074
Batch-527503,2023-10-12,nanopore,Agrabah,2025-01-28 17:54:28.992092,2025-01-28 17:54:28.992092
Batch-416534,2024-11-27,Illumina,Asgard,2025-01-28 17:54:28.992114,2025-01-28 17:54:28.992115
Batch-649262,2023-12-21,nanopore,Hogwarts,2025-01-28 17:54:28.992138,2025-01-28 17:54:28.992139
Batch-304413,2024-06-22,nanopore,Hogwarts,2025-01-28 17:54:28.992156,2025-01-28 17:54:28.992157
Batch-053965,2023-07-29,nanopore,Hogwarts,2025-01-28 17:54:28.992175,2025-01-28 17:54:28.992176
Batch-253637,2024-09-16,nanopore,Hogwarts,2025-01-28 17:54:28.992194,2025-01-28 17:54:28.992194
Batch-851587,2023-12-20,Illumina,Narnia,2025-01-28 17:54:28.992217,2025-01-28 17:54:28.992217
Batch-933433,2023-04-23,nanopore,Hogwarts,2025-01-28 17:54:28.992235,2025-01-28 17:54:28.992236
Batch-249081,2023-07-22,Illumina,Hogwarts,2025-01-28 17:54:28.992254,2025-01-28 17:54:28.992254
Batch-107797,2024-11-06,Illumina,Hogwarts,2025-01-28 17:54:28.992276,2025-01-28 17:54:28.992277
Batch-948038,2023-06-23,nanopore,Hogwarts,2025-01-28 17:54:28.992295,2025-01-28 17:54:28.992295
Batch-260076,2024-06-01,Illumina,Gilead,2025-01-28 17:54:28.992313,2025-01-28 17:54:28.992314
Batch-712423,2024-02-18,Illumina,Hogwarts,2025-01-28 17:54:28.992336,2025-01-28 17:54:28.992337
Batch-969791,2024-11-09,Illumina,Gilead,2025-01-28 17:54:28.992359,2025-01-28 17:54:28.992359
Batch-453321,2023-12-15,nanopore,Gilead,2025-01-28 17:54:28.992382,2025-01-28 17:54:28.992383
Batch-900571,2023-06-16,Illumina,Wakanda,2025-01-28 17:54:28.992403,2025-01-28 17:54:28.992404
Batch-013730,2024-05-27,Illumina,Gilead,2025-01-28 17:54:28.992422,2025-01-28 17:54:28.992423
Batch-199399,2023-11-06,Illumina,Hogwarts,2025-01-28 17:54:28.992446,2025-01-28 17:54:28.992446
Batch-524407,2023-04-18,nanopore,Hogwarts,2025-01-28 17:54:28.992464,2025-01-28 17:54:28.992465
Batch-592096,2024-09-20,nanopore,Hogwarts,2025-01-28 17:54:28.992483,2025-01-28 17:54:28.992484
Batch-038179,2023-10-25,Illumina,Hogwarts,2025-01-28 17:54:28.992502,2025-01-28 17:54:28.992503
Batch-658197,2023-09-28,nanopore,Gilead,2025-01-28 17:54:28.992521,2025-01-28 17:54:28.992522
Batch-779863,2023-06-29,Illumina,Hogwarts,2025-01-28 17:54:28.992540,2025-01-28 17:54:28.992541
Batch-711388,2023-09-14,nanopore,Hogwarts,2025-01-28 17:54:28.992559,2025-01-28 17:54:28.992559
Batch-050814,2024-08-03,Illumina,Wakanda,2025-01-28 17:54:28.992579,2025-01-28 17:54:28.992579
Batch-627073,2024-06-13,Illumina,Hogwarts,2025-01-28 17:54:28.992597,2025-01-28 17:54:28.992598
Batch-898510,2023-06-10,nanopore,Hogwarts,2025-01-28 17:54:28.992617,2025-01-28 17:54:28.992617
Batch-518098,2024-11-15,nanopore,Narnia,2025-01-28 17:54:28.992640,2025-01-28 17:54:28.992640
Batch-443428,2024-10-10,nanopore,Agrabah,2025-01-28 17:54:28.992659,2025-01-28 17:54:28.992660
Batch-071386,2024-04-16,nanopore,Hogwarts,2025-01-28 17:54:28.992678,2025-01-28 17:54:28.992678
Batch-522184,2024-11-25,nanopore,Hogwarts,2025-01-28 17:54:28.992701,2025-01-28 17:54:28.992702
Batch-314626,2024-04-28,Illumina,Hogwarts,2025-01-28 17:54:28.992720,2025-01-28 17:54:28.992721
Batch-580365,2023-10-04,Illumina,Hogwarts,2025-01-28 17:54:28.992741,2025-01-28 17:54:28.992742
Batch-355333,2023-06-04,Illumina,Agrabah,2025-01-28 17:54:28.992760,2025-01-28 17:54:28.992761
Batch-184176,2023-10-10,Illumina,Hogwarts,2025-01-28 17:54:28.992779,2025-01-28 17:54:28.992780
Batch-461094,2023-05-16,Illumina,Hogwarts,2025-01-28 17:54:28.992798,2025-01-28 17:54:28.992799
Batch-825023,2023-11-05,Illumina,Hogwarts,2025-01-28 17:54:28.992822,2025-01-28 17:54:28.992822
Batch-380672,2024-07-02,Illumina,Agrabah,2025-01-28 17:54:28.992841,2025-01-28 17:54:28.992841
Batch-148542,2023-08-05,nanopore,Hogwarts,2025-01-28 17:54:28.992859,2025-01-28 17:54:28.992860
Batch-939183,2024-06-19,Illumina,Hogwarts,2025-01-28 17:54:28.992878,2025-01-28 17:54:28.992879
Batch-333987,2024-02-13,Illumina,Wakanda,2025-01-28 17:54:28.992901,2025-01-28 17:54:28.992902
Batch-086997,2023-07-04,Illumina,Neverland,2025-01-28 17:54:28.992921,2025-01-28 17:54:28.992921
Batch-240471,2023-12-31,Illumina,Narnia,2025-01-28 17:54:28.992945,2025-01-28 17:54:28.992946
Batch-530378,2024-02-28,nanopore,Hogwarts,2025-01-28 17:54:28.992969,2025-01-28 17:54:28.992970
Batch-000524,2023-09-05,nanopore,Wakanda,2025-01-28 17:54:28.992989,2025-01-28 17:54:28.992990
Batch-852175,2023-09-21,nanopore,Hogwarts,2025-01-28 17:54:28.993008,2025-01-28 17:54:28.993009
Batch-114073,2023-04-12,nanopore,Hogwarts,2025-01-28 17:54:28.993027,2025-01-28 17:54:28.993028
Batch-023810,2025-01-10,nanopore,Hogwarts,2025-01-28 17:54:28.993051,2025-01-28 17:54:28.993052
Batch-736881,2023-05-07,Illumina,Hogwarts,2025-01-28 17:54:28.993072,2025-01-28 17:54:28.993072
Batch-917465,2024-07-21,Illumina,Hogwarts,2025-01-28 17:54:28.993090,2025-01-28 17:54:28.993091
Batch-809252,2023-02-13,Illumina,Hogwarts,2025-01-28 17:54:28.993113,2025-01-28 17:54:28.993114
