ConsensusID,NCount,AmbiguousSites,NwAmb,NCountQC,NumAlignedReads,PctCoveredBases,SeqLength,QcScore,SequenceExclude,ManualExclude,Alpha,Beta,Gamma,Delta,Eta,Omicron,BA.1,BA.2,BG,BA.4,BA.5,BA.2.75,BF.7,WhoVariant,LineagesOfInterest,UnaliasedPango,SequencedSampleID,CurrentNextcladeID,CurrentPangolinID,IsCurrent,TimestampCreated,TimestampUpdated
Consensus-179460,17,0,17,HQ,,99.65,30077,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.4.2,SequencedSample-879759,Nextclade-644075,Pangolin-667792,1,2025-01-29 15:10:15.417393,2025-01-29 15:10:15.417397
Consensus-330002,624,0,624,MQ,,93.1,30254,,,Manually_Excluded_Plate,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.4,SequencedSample-931963,Nextclade-695649,Pangolin-982173,1,2025-01-29 15:10:15.417639,2025-01-29 15:10:15.417641
Consensus-933325,144,0,144,MQ,,98.41,29863,,,Manually_Excluded_Sample,1,0,0,0,0,0,0,0,0,0,0,0,0,Alpha,Alpha,B.1.1.7,SequencedSample-293207,Nextclade-233935,Pangolin-016068,1,2025-01-29 15:10:15.417820,2025-01-29 15:10:15.417822
Consensus-591954,95,1,96,HQ,,99.61,29390,,,Manually_Excluded_Sample,0,0,0,0,0,1,1,0,0,0,0,0,0,Omicron,BA.1,B.1.1.529.1.17.2,SequencedSample-698123,Nextclade-485922,Pangolin-328626,1,2025-01-29 15:10:15.418290,2025-01-29 15:10:15.418293
Consensus-061426,673,0,673,MQ,280306,90.79,29701,Fail: Mixed strain,,Manually_Excluded_Run,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2.9,SequencedSample-323830,Nextclade-984530,Pangolin-928299,1,2025-01-29 15:10:15.418553,2025-01-29 15:10:15.418556
Consensus-769719,152,0,152,MQ,,94.09,30183,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,B.1.258,SequencedSample-121824,Nextclade-511658,Pangolin-520493,1,2025-01-29 15:10:15.418812,2025-01-29 15:10:15.418814
Consensus-155768,88,0,88,HQ,,99.72,29699,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.25.3,SequencedSample-774480,Nextclade-836066,Pangolin-503432,1,2025-01-29 15:10:15.418997,2025-01-29 15:10:15.418998
Consensus-557887,236,0,236,MQ,,96.68,29934,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,Alpha,Alpha,B.1.1.7,SequencedSample-073610,Nextclade-772200,Pangolin-162165,1,2025-01-29 15:10:15.419158,2025-01-29 15:10:15.419160
Consensus-373383,36,0,36,HQ,,99.73,30129,,,Manually_Excluded_Sample,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.4.6,SequencedSample-345699,Nextclade-282716,Pangolin-449971,1,2025-01-29 15:10:15.419318,2025-01-29 15:10:15.419319
Consensus-841668,348,1,349,MQ,1285016,93.12,30007,Fail: Mixed strain,,Manually_Excluded_Run,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2,SequencedSample-238812,Nextclade-311624,Pangolin-128658,1,2025-01-29 15:10:15.419478,2025-01-29 15:10:15.419479
Consensus-047897,54,3,57,HQ,,99.68,29594,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2.4.6,SequencedSample-547632,Nextclade-662299,Pangolin-425600,1,2025-01-29 15:10:15.419626,2025-01-29 15:10:15.419627
Consensus-361580,47,0,47,HQ,,99.69,29869,,,Manually_Excluded_Run,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-677352,Nextclade-418674,Pangolin-750576,1,2025-01-29 15:10:15.419771,2025-01-29 15:10:15.419772
Consensus-245609,798,1,799,MQ,,98.48,30312,,,Manually_Excluded_Sample,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-475079,Nextclade-644492,Pangolin-977774,1,2025-01-29 15:10:15.419906,2025-01-29 15:10:15.419907
Consensus-779478,45,0,45,HQ,,99.87,29637,,,,0,0,0,1,0,0,0,0,0,0,0,0,0,Delta,Delta,B.1.617.2,SequencedSample-192699,Nextclade-345215,Pangolin-975974,1,2025-01-29 15:10:15.420045,2025-01-29 15:10:15.420046
Consensus-845246,52,0,52,HQ,,99.99,29584,,,Manually_Excluded_Run,0,0,0,0,0,1,0,1,0,0,0,0,0,Omicron,BA.2,B.1.1.529.2,SequencedSample-445716,Nextclade-006707,Pangolin-077509,1,2025-01-29 15:10:15.420179,2025-01-29 15:10:15.420180
