NextcladeResultID,frameShifts,aaSubstitutions,aaDeletions,aaInsertions,alignmentScore,clade,Nextclade_pango,substitutions,deletions,insertions,missing,nonACGTNs,pcrPrimerChanges,qc.mixedSites.totalMixedSites,qc.overallScore,qc.overallStatus,qc.frameShifts.status,qc.frameShifts.frameShiftsIgnored,NextcladeVersion,ConsensusID,IsCurrent,TimestampCreated,TimestampUpdated
Nextclade-016655,,,,,89207,21J (Delta),AY.4,,,,,,,0,10,good,,,nextclade 2.5.0,Consensus-816420,1,2025-02-03 14:08:35.113520,2025-02-03 14:08:35.113522
Nextclade-671589,,,,,88619,21L (Omicron),BA.2.9,,,,,,,0,26,good,,,nextclade 2.6.0,Consensus-537696,1,2025-02-03 14:08:35.114122,2025-02-03 14:08:35.114124
Nextclade-903822,,,,,89570,21J (Delta),AY.80,,,,,,,3,11,good,,,nextclade 2.4.0,Consensus-002193,1,2025-02-03 14:08:35.114667,2025-02-03 14:08:35.114668
Nextclade-070744,,,,,89017,20I (Alpha; V1),B.1.1.7,,,,,,,1,51,mediocre,,,nextclade 2.6.0,Consensus-086760,1,2025-02-03 14:08:35.115205,2025-02-03 14:08:35.115206
Nextclade-821259,,,,,88705,21J (Delta),AY.4.15,,,,,,,3,8,good,,,nextclade 2.4.0,Consensus-965306,1,2025-02-03 14:08:35.115740,2025-02-03 14:08:35.115741
Nextclade-980265,,,,,89235,21L (Omicron),BA.2,,,,,,,0,5,good,,,nextclade 2.4.0,Consensus-137932,1,2025-02-03 14:08:35.116276,2025-02-03 14:08:35.116277
Nextclade-672828,,,,,88307,21J (Delta),AY.4.5,,,,,,,0,22,good,,,nextclade 2.6.0,Consensus-788690,1,2025-02-03 14:08:35.116797,2025-02-03 14:08:35.116798
Nextclade-755137,,,,,88395,21L (Omicron),BA.2,,,,,,,1,19,good,,,nextclade 2.6.0,Consensus-219856,1,2025-02-03 14:08:35.117323,2025-02-03 14:08:35.117324
Nextclade-829758,,,,,88256,,,,,,,,,1,9,good,,,nextclade 2.6.0,Consensus-337232,1,2025-02-03 14:08:35.117901,2025-02-03 14:08:35.117902
Nextclade-755398,,,,,89505,21J (Delta),AY.98.1,,,,,,,0,11,good,,,nextclade 2.5.0,Consensus-129756,1,2025-02-03 14:08:35.118446,2025-02-03 14:08:35.118447
Nextclade-669210,,,,,87938,20A,B.1,,,,,,,0,64,mediocre,,,nextclade 2.6.0,Consensus-072527,1,2025-02-03 14:08:35.118971,2025-02-03 14:08:35.118972
Nextclade-083818,,,,,87925,21K (Omicron),BA.1.1,,,,,,,0,21,good,,,nextclade 2.5.0,Consensus-182963,1,2025-02-03 14:08:35.119524,2025-02-03 14:08:35.119525
Nextclade-054150,,,,,89591,20I (Alpha; V1),B.1.1.7,,,,,,,3,3,good,,,nextclade 2.6.0,Consensus-360280,1,2025-02-03 14:08:35.120258,2025-02-03 14:08:35.120260
Nextclade-586409,,,,,89286,21J (Delta),AY.80,,,,,,,0,3,good,,,nextclade 2.4.0,Consensus-017969,1,2025-02-03 14:08:35.120967,2025-02-03 14:08:35.120968
Nextclade-321117,,,,,89529,21J (Delta),AY.122,,,,,,,0,5,good,,,nextclade 2.5.0,Consensus-272310,1,2025-02-03 14:08:35.121539,2025-02-03 14:08:35.121540
Nextclade-336811,,,,,88344,,,,,,,,,0,10,good,,,nextclade 2.6.0,Consensus-249379,1,2025-02-03 14:08:35.122110,2025-02-03 14:08:35.122111
Nextclade-618609,,,,,89469,21L (Omicron),BA.2.9,,,,,,,2,13,good,,,nextclade 2.5.0,Consensus-500814,1,2025-02-03 14:08:35.122656,2025-02-03 14:08:35.122658
Nextclade-957473,,,,,89200,20I (Alpha; V1),B.1.1.7,,,,,,,2,22326,bad,,,nextclade 2.5.0,Consensus-977576,1,2025-02-03 14:08:35.123194,2025-02-03 14:08:35.123195
Nextclade-869234,,,,,88062,21K (Omicron),BA.1,,,,,,,2,7,good,,,nextclade 2.4.0,Consensus-634925,1,2025-02-03 14:08:35.123712,2025-02-03 14:08:35.123713
Nextclade-252001,,,,,88524,20I (Alpha; V1),B.1.1.7,,,,,,,0,91,mediocre,,,nextclade 2.4.0,Consensus-226187,1,2025-02-03 14:08:35.124237,2025-02-03 14:08:35.124238
Nextclade-910330,,,,,88770,21K (Omicron),BA.1.17.2,,,,,,,2,32,mediocre,,,nextclade 2.5.0,Consensus-626411,1,2025-02-03 14:08:35.124774,2025-02-03 14:08:35.124775
Nextclade-255585,,,,,89250,20I (Alpha; V1),B.1.1.7,,,,,,,0,3,good,,,nextclade 2.4.0,Consensus-530123,1,2025-02-03 14:08:35.125313,2025-02-03 14:08:35.125314
