PangolinResultID,lineage,version,pangolin_version,scorpio_version,constellation_version,qc_status,qc_notes,note,ConsensusID,IsCurrent,TimestampCreated,TimestampUpdated
Pangolin-667792,AY.43.6,PUSHER-v1.14,4.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-179460,1,2025-01-29 15:10:27.266339,2025-01-29 15:10:27.266340
Pangolin-982173,B.1.1.7,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-330002,1,2025-01-29 15:10:27.266432,2025-01-29 15:10:27.266433
Pangolin-016068,AY.43.6,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-933325,1,2025-01-29 15:10:27.266511,2025-01-29 15:10:27.266512
Pangolin-328626,BA.2,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-591954,1,2025-01-29 15:10:27.266584,2025-01-29 15:10:27.266585
Pangolin-928299,AY.7.1,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-061426,1,2025-01-29 15:10:27.266656,2025-01-29 15:10:27.266657
Pangolin-520493,AY.4.10,PANGO-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-769719,1,2025-01-29 15:10:27.266726,2025-01-29 15:10:27.266727
Pangolin-503432,BA.1,PUSHER-v1.14,4.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-155768,1,2025-01-29 15:10:27.266797,2025-01-29 15:10:27.266798
Pangolin-162165,BA.2,PANGO-v1.14,4.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-557887,1,2025-01-29 15:10:27.266865,2025-01-29 15:10:27.266866
Pangolin-449971,AY.4.6,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-373383,1,2025-01-29 15:10:27.266932,2025-01-29 15:10:27.266933
Pangolin-128658,BA.1,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-841668,1,2025-01-29 15:10:27.266999,2025-01-29 15:10:27.267000
Pangolin-425600,B.1.221.3,PANGO-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-047897,1,2025-01-29 15:10:27.267066,2025-01-29 15:10:27.267066
Pangolin-750576,B.1.1.7,PANGO-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-361580,1,2025-01-29 15:10:27.267132,2025-01-29 15:10:27.267133
Pangolin-977774,BA.1,PANGO-v1.14,4.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-245609,1,2025-01-29 15:10:27.267201,2025-01-29 15:10:27.267202
Pangolin-975974,BA.1,PUSHER-v1.14,4.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-779478,1,2025-01-29 15:10:27.267268,2025-01-29 15:10:27.267269
Pangolin-077509,BA.1,PUSHER-v1.14,4.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-845246,1,2025-01-29 15:10:27.267333,2025-01-29 15:10:27.267334
Pangolin-520636,,,,,,,,,Consensus-025813,1,2025-01-29 15:10:27.267397,2025-01-29 15:10:27.267398
Pangolin-726641,BA.1.17.2,PANGO-v1.14,4.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-120560,1,2025-01-29 15:10:27.267462,2025-01-29 15:10:27.267463
Pangolin-418321,B.1,PUSHER-v1.14,4.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-721751,1,2025-01-29 15:10:27.267525,2025-01-29 15:10:27.267526
Pangolin-849001,B.1.1.7,PANGO-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-119600,1,2025-01-29 15:10:27.267589,2025-01-29 15:10:27.267589
Pangolin-447247,AY.4,PUSHER-v1.14,4.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-811243,1,2025-01-29 15:10:27.267652,2025-01-29 15:10:27.267653
Pangolin-384134,AY.4.15,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-721371,1,2025-01-29 15:10:27.267714,2025-01-29 15:10:27.267715
Pangolin-845702,B.1.617.2,PUSHER-v1.14,4.1.2,0.3.17,v0.1.10,pass,some_qc_notes,some_note,Consensus-439939,1,2025-01-29 15:10:27.267777,2025-01-29 15:10:27.267778
