SequencedSampleID,SequencingType,DateSequencing,SampleContent,BatchID,CurrentConsensusID,SampleID,TimestampCreated,TimestampUpdated
SequencedSample-649765,Hogwarts_sequencing_sent_to_Panem,2023-12-05,RNA,Batch-783743,Consensus-816420,Sample-468103,2025-02-03 14:08:59.957547,2025-02-03 14:08:59.957548
SequencedSample-648546,Hogwarts_sequencing_sent_to_Panem,2022-10-22,RNA,Batch-783743,Consensus-537696,Sample-625005,2025-02-03 14:08:59.957572,2025-02-03 14:08:59.957573
SequencedSample-225489,live,2024-01-02,RNA,Batch-783743,Consensus-002193,Sample-685582,2025-02-03 14:08:59.957599,2025-02-03 14:08:59.957599
SequencedSample-987965,hospital_sequencing,2022-11-09,RNA,Batch-783743,Consensus-086760,Sample-301698,2025-02-03 14:08:59.957622,2025-02-03 14:08:59.957622
SequencedSample-171536,live,2021-09-03,RNA,Batch-783743,Consensus-965306,Sample-057932,2025-02-03 14:08:59.957641,2025-02-03 14:08:59.957641
SequencedSample-262124,project,2022-05-02,RNA,Batch-783743,Consensus-137932,Sample-914892,2025-02-03 14:08:59.957659,2025-02-03 14:08:59.957659
SequencedSample-040351,hospital_sequencing,2023-03-08,RNA,Batch-783743,Consensus-788690,Sample-890286,2025-02-03 14:08:59.957681,2025-02-03 14:08:59.957682
SequencedSample-111272,Panem_sequencing,2024-03-15,RNA,Batch-783743,Consensus-219856,Sample-968350,2025-02-03 14:08:59.957703,2025-02-03 14:08:59.957704
SequencedSample-522566,live,2021-04-03,RNA,Batch-783743,Consensus-337232,Sample-183706,2025-02-03 14:08:59.957721,2025-02-03 14:08:59.957722
SequencedSample-660635,project,2024-04-09,RNA,Batch-783743,Consensus-129756,Sample-845490,2025-02-03 14:08:59.957739,2025-02-03 14:08:59.957739
SequencedSample-287421,hostital,2020-12-03,RNA,Batch-783743,Consensus-072527,Sample-168047,2025-02-03 14:08:59.957761,2025-02-03 14:08:59.957762
SequencedSample-769020,test,2022-02-28,RNA,Batch-783743,Consensus-182963,Sample-143312,2025-02-03 14:08:59.957784,2025-02-03 14:08:59.957785
SequencedSample-951392,hostital,2022-06-26,RNA,Batch-783743,Consensus-360280,Sample-888251,2025-02-03 14:08:59.957802,2025-02-03 14:08:59.957802
SequencedSample-197265,historic,2024-04-20,RNA,Batch-783743,Consensus-017969,Sample-170159,2025-02-03 14:08:59.957819,2025-02-03 14:08:59.957820
SequencedSample-069135,Panem_sequencing,2023-07-03,RNA,Batch-783743,Consensus-272310,Sample-350112,2025-02-03 14:08:59.957837,2025-02-03 14:08:59.957837
SequencedSample-255922,test,2023-05-25,RNA,Batch-783743,Consensus-249379,Sample-984026,2025-02-03 14:08:59.957855,2025-02-03 14:08:59.957855
SequencedSample-812788,project,2023-05-03,RNA,Batch-783743,Consensus-500814,Sample-607255,2025-02-03 14:08:59.957872,2025-02-03 14:08:59.957873
SequencedSample-998116,Panem_sequencing,2021-10-20,RNA,Batch-783743,Consensus-977576,Sample-189386,2025-02-03 14:08:59.957891,2025-02-03 14:08:59.957892
SequencedSample-684167,test,2023-07-04,RNA,Batch-783743,Consensus-634925,Sample-633998,2025-02-03 14:08:59.957909,2025-02-03 14:08:59.957909
SequencedSample-884124,hostital,2022-03-14,RNA,Batch-783743,Consensus-226187,Sample-277639,2025-02-03 14:08:59.957931,2025-02-03 14:08:59.957931
SequencedSample-423692,project,2024-09-22,RNA,Batch-783743,Consensus-626411,Sample-858294,2025-02-03 14:08:59.957948,2025-02-03 14:08:59.957949
SequencedSample-615251,test,2020-10-19,RNA,Batch-783743,Consensus-530123,Sample-050469,2025-02-03 14:08:59.957966,2025-02-03 14:08:59.957966
SequencedSample-579656,Hogwarts_sequencing_sent_to_Panem,2022-10-12,RNA,Batch-783743,Consensus-692685,Sample-571814,2025-02-03 14:08:59.957983,2025-02-03 14:08:59.957984
SequencedSample-110602,test,2023-11-03,RNA,Batch-783743,Consensus-470525,Sample-740059,2025-02-03 14:08:59.958005,2025-02-03 14:08:59.958006
SequencedSample-961398,historic,2023-08-25,RNA,Batch-783743,Consensus-633904,Sample-147544,2025-02-03 14:08:59.958023,2025-02-03 14:08:59.958023
SequencedSample-344829,project,2023-02-25,RNA,Batch-783743,Consensus-860652,Sample-743285,2025-02-03 14:08:59.958044,2025-02-03 14:08:59.958045
SequencedSample-006686,hospital_sequencing,2021-02-11,RNA,Batch-783743,Consensus-956457,Sample-231513,2025-02-03 14:08:59.958066,2025-02-03 14:08:59.958067
SequencedSample-244948,Hogwarts_sequencing_sent_to_Panem,2021-09-23,RNA,Batch-783743,Consensus-306897,Sample-658269,2025-02-03 14:08:59.958084,2025-02-03 14:08:59.958085
SequencedSample-578516,hostital,2023-07-29,RNA,Batch-783743,Consensus-030420,Sample-952435,2025-02-03 14:08:59.958102,2025-02-03 14:08:59.958103
SequencedSample-312880,hostital,2023-03-24,RNA,Batch-783743,Consensus-033293,Sample-053619,2025-02-03 14:08:59.958124,2025-02-03 14:08:59.958124
SequencedSample-208788,project,2024-08-04,RNA,Batch-783743,Consensus-680321,Sample-654944,2025-02-03 14:08:59.958141,2025-02-03 14:08:59.958142
SequencedSample-024359,hospital_sequencing,2022-08-17,RNA,Batch-783743,Consensus-629428,Sample-437165,2025-02-03 14:08:59.958158,2025-02-03 14:08:59.958159
SequencedSample-102784,hospital_sequencing,2021-04-12,RNA,Batch-783743,Consensus-729543,Sample-999780,2025-02-03 14:08:59.958176,2025-02-03 14:08:59.958176
SequencedSample-174935,test,2024-04-29,RNA,Batch-783743,Consensus-097384,Sample-581676,2025-02-03 14:08:59.958195,2025-02-03 14:08:59.958196
SequencedSample-412732,hostital,2022-01-02,RNA,Batch-783743,Consensus-082549,Sample-807480,2025-02-03 14:08:59.958218,2025-02-03 14:08:59.958219
SequencedSample-977879,Panem_sequencing,2022-07-04,RNA,Batch-783743,Consensus-419941,Sample-319139,2025-02-03 14:08:59.958235,2025-02-03 14:08:59.958236
SequencedSample-102116,hostital,2023-05-15,RNA,Batch-783743,Consensus-561923,Sample-316757,2025-02-03 14:08:59.958252,2025-02-03 14:08:59.958253
SequencedSample-295535,test,2022-09-08,RNA,Batch-783743,Consensus-891365,Sample-681362,2025-02-03 14:08:59.958269,2025-02-03 14:08:59.958270
SequencedSample-938425,test,2021-02-25,RNA,Batch-783743,Consensus-368460,Sample-019616,2025-02-03 14:08:59.958292,2025-02-03 14:08:59.958292
SequencedSample-655637,Hogwarts_sequencing_sent_to_Panem,2021-11-03,RNA,Batch-783743,Consensus-836080,Sample-008996,2025-02-03 14:08:59.958313,2025-02-03 14:08:59.958314
SequencedSample-124593,Panem_sequencing,2021-08-23,RNA,Batch-783743,Consensus-893296,Sample-460387,2025-02-03 14:08:59.958331,2025-02-03 14:08:59.958331
SequencedSample-008931,Hogwarts_sequencing_sent_to_Panem,2024-04-09,RNA,Batch-783743,Consensus-617108,Sample-904876,2025-02-03 14:08:59.958348,2025-02-03 14:08:59.958349
SequencedSample-062725,test,2021-07-11,RNA,Batch-783743,Consensus-758596,Sample-419644,2025-02-03 14:08:59.958365,2025-02-03 14:08:59.958366
SequencedSample-343639,Panem_sequencing,2022-11-19,RNA,Batch-783743,Consensus-635061,Sample-687061,2025-02-03 14:08:59.958387,2025-02-03 14:08:59.958388
SequencedSample-948074,historic,2024-01-08,RNA,Batch-783743,Consensus-516766,Sample-255753,2025-02-03 14:08:59.958408,2025-02-03 14:08:59.958409
SequencedSample-460106,Hogwarts_sequencing_sent_to_Panem,2021-06-08,RNA,Batch-783743,Consensus-257835,Sample-323607,2025-02-03 14:08:59.958426,2025-02-03 14:08:59.958427
SequencedSample-980773,Hogwarts_sequencing_sent_to_Panem,2022-10-20,RNA,Batch-783743,Consensus-698269,Sample-905318,2025-02-03 14:08:59.958443,2025-02-03 14:08:59.958444
SequencedSample-280668,live,2024-06-24,RNA,Batch-783743,Consensus-707536,Sample-656479,2025-02-03 14:08:59.958461,2025-02-03 14:08:59.958461
SequencedSample-899886,hostital,2021-05-27,RNA,Batch-783743,Consensus-416791,Sample-430231,2025-02-03 14:08:59.958478,2025-02-03 14:08:59.958478
SequencedSample-654563,test,2021-01-23,RNA,Batch-783743,Consensus-108628,Sample-640419,2025-02-03 14:08:59.958499,2025-02-03 14:08:59.958500
SequencedSample-254966,test,2022-01-25,RNA,Batch-783743,Consensus-654678,Sample-960324,2025-02-03 14:08:59.958520,2025-02-03 14:08:59.958521
SequencedSample-599179,hostital,2022-09-04,RNA,Batch-783743,Consensus-533497,Sample-012123,2025-02-03 14:08:59.958537,2025-02-03 14:08:59.958538
SequencedSample-200313,project,2023-06-13,RNA,Batch-783743,Consensus-215535,Sample-140804,2025-02-03 14:08:59.958554,2025-02-03 14:08:59.958555
SequencedSample-051452,project,2023-06-22,RNA,Batch-783743,Consensus-440251,Sample-851466,2025-02-03 14:08:59.958572,2025-02-03 14:08:59.958573
SequencedSample-218438,live,2023-09-12,RNA,Batch-783743,Consensus-855731,Sample-650656,2025-02-03 14:08:59.958589,2025-02-03 14:08:59.958590
SequencedSample-786311,hostital,2024-08-12,RNA,Batch-783743,Consensus-870028,Sample-467317,2025-02-03 14:08:59.958606,2025-02-03 14:08:59.958607
SequencedSample-326466,project,2024-02-05,RNA,Batch-783743,Consensus-341171,Sample-332275,2025-02-03 14:08:59.958628,2025-02-03 14:08:59.958629
SequencedSample-828415,hostital,2024-02-07,RNA,Batch-783743,Consensus-938724,Sample-070323,2025-02-03 14:08:59.958651,2025-02-03 14:08:59.958651
SequencedSample-347291,hostital,2022-03-07,RNA,Batch-783743,Consensus-378241,Sample-025538,2025-02-03 14:08:59.958672,2025-02-03 14:08:59.958673
SequencedSample-610829,hospital_sequencing,2021-03-03,RNA,Batch-783743,Consensus-510570,Sample-627754,2025-02-03 14:08:59.958693,2025-02-03 14:08:59.958694
SequencedSample-076912,live,2022-08-21,RNA,Batch-783743,Consensus-955536,Sample-508911,2025-02-03 14:08:59.958711,2025-02-03 14:08:59.958711
SequencedSample-702673,hostital,2022-05-26,RNA,Batch-783743,Consensus-959748,Sample-105745,2025-02-03 14:08:59.958728,2025-02-03 14:08:59.958728
SequencedSample-264240,historic,2023-01-26,RNA,Batch-783743,Consensus-851391,Sample-241625,2025-02-03 14:08:59.958749,2025-02-03 14:08:59.958749
SequencedSample-902760,test,2023-11-09,RNA,Batch-783743,Consensus-786672,Sample-353195,2025-02-03 14:08:59.958771,2025-02-03 14:08:59.958771
SequencedSample-270037,historic,2024-02-14,RNA,Batch-783743,Consensus-398246,Sample-385954,2025-02-03 14:08:59.958792,2025-02-03 14:08:59.958792
