QcScore,SequenceExclude,ManualExclude,weight
NULL,MixedStrain,NULL,1
NULL,MixedStrain,NULL,2
NULL,MixedStrain,NULL,3
NULL,MixedStrain,NULL,4
NULL,MixedStrain,NULL,5
NULL,MixedStrain,NULL,6
NULL,MixedStrain,NULL,8
NULL,MixedStrain,NULL,10
NULL,MixedStrain,NULL,12
NULL,MixedStrain,NULL,14
NULL,MixedStrain,NULL,32
NULL,MixedStrain,NULL,37
NULL,MixedStrain,NULL,62
NULL,MixedStrain,NULL,109
NULL,MixedStrain,NULL,130
NULL,MixedStrain,NULL,132
NULL,MixedStrain,NULL,148
NULL,MixedStrain,NULL,149
NULL,MixedStrain,NULL,205
NULL,MixedStrain,NULL,260
NULL,TooManyNs;MixedStrain,NULL,1
NULL,TooManyNs;MixedStrain,NULL,2
NULL,TooManyNs;MixedStrain,NULL,3
NULL,TooManyNs;MixedStrain,NULL,4
NULL,TooManyNs;MixedStrain,NULL,7
NULL,TooManyNs;MixedStrain,NULL,8
NULL,TooManyNs;MixedStrain,NULL,9
NULL,TooManyNs;MixedStrain,NULL,20
NULL,TooManyNs;MixedStrain,NULL,21
NULL,TooManyNs;MixedStrain,NULL,27
NULL,TooManyNs;MixedStrain,NULL,48
NULL,TooManyNs;MixedStrain,NULL,50
NULL,TooManyNs;MixedStrain,NULL,52
NULL,TooManyNs;MixedStrain,NULL,66
NULL,TooManyNs;MixedStrain,NULL,88
Fail: Mixed strain,MixedStrain,NULL,1
Fail: Mixed strain,MixedStrain,NULL,2
Fail: Mixed strain,MixedStrain,NULL,3
Fail: Mixed strain,MixedStrain,NULL,4
Fail: Mixed strain,MixedStrain,NULL,5
Fail: Mixed strain,MixedStrain,NULL,6
Fail: Mixed strain,MixedStrain,NULL,7
Fail: Mixed strain,MixedStrain,NULL,8
Fail: Mixed strain,MixedStrain,NULL,9
Fail: Mixed strain,MixedStrain,NULL,15
Fail: Mixed strain,MixedStrain,NULL,17
Fail: Mixed strain,MixedStrain,NULL,20
Fail: Mixed strain,MixedStrain,NULL,22
Fail: Mixed strain,MixedStrain,NULL,25
Fail: Mixed strain,MixedStrain,NULL,31
Fail: Mixed strain,MixedStrain,NULL,32
Fail: Mixed strain,MixedStrain,NULL,38
Fail: Mixed strain,MixedStrain,NULL,42
Fail: Mixed strain,MixedStrain,NULL,43
Fail: Mixed strain,MixedStrain,NULL,44
