AmbiguousSites,amount_seen
19,232
36,49
53,6
73,2
147,1
66,9
83,4
100,2
0,369417
18,276
43,40
33,58
86,1
136,11
138,2
143,3
154,1
68,3
153,1
13,602
38,72
65,10
81,3
133,9
140,9
72,2
132,3
15,406
32,78
45,27
79,2
47,16
146,4
126,1
24,130
44,32
51,10
144,6
76,4
145,2
101,1
119,1
1,115729
11,1043
31,70
41,67
26,91
58,5
130,3
4,13438
3,26491
30,76
23,131
139,7
39,79
71,4
64,6
54,9
91,1
90,1
5,6729
37,63
134,6
141,6
94,2
84,1
104,1
34,50
9,1379
59,10
50,16
69,5
77,3
137,7
127,1
16,353
48,12
63,7
70,3
88,2
117,1
12,757
22,162
29,85
56,8
149,1
2,53259
27,104
42,36
62,9
49,8
129,3
67,5
52,7
131,6
92,2
8,1840
25,127
17,381
60,12
35,43
128,3
85,4
6,3966
61,6
21,163
28,102
46,19
135,7
142,6
78,1
108,1
125,1
14,459
123,2
55,9
157,1
80,1
7,2655
10,1257
20,199
40,72
87,2
57,13
74,1
