BatchSource,SequencingType,weight
Wakanda,hospital_sequencing,2284
Neverland,hospital_sequencing,502
Pandora,hospital_sequencing,14809
Narnia,hospital_sequencing,8736
Hogwarts,historic,20552
Hogwarts,live,356938
Hogwarts,hospital,29744
Hogwarts,project,7254
Panem,Panem_sequencing,142283
Hogwarts,hospital_sequencing,74
Agrabah,hospital_sequencing,1803
Panem,Panem_sequencing_sent_to_Hogwarts,111
Westeros,hospital_sequencing,14
Middle-Earth,hospital_sequencing,12211
Gilead,hospital_sequencing,6806
Asgard,hospital_sequencing,5778
Hogwarts,test,1187
