LineagesOfInterest,BatchSource,weights
NULL,Pandora,3303
Gamma,Asgard,1
Omicron,Narnia,1
Alpha,Narnia,893
Delta,Panem,123
NULL,Agrabah,462
Eta,Wakanda,1
BA.1,Agrabah,68
NULL,Asgard,1340
Delta,Neverland,406
BA.2,Pandora,6304
Alpha,Pandora,541
Gamma,Hogwarts,59
Alpha,Hogwarts,29475
BA.2,Middle-Earth,4007
Eta,Panem,669
Alpha,Middle-Earth,211
BA.1,Wakanda,145
Omicron,Pandora,41
Eta,Agrabah,2
Alpha,Agrabah,695
BA.1,Narnia,1020
BA.2,Neverland,84
Beta,Narnia,13
Alpha,Neverland,3
BA.1,Middle-Earth,1759
BA.2,Agrabah,181
Alpha,Wakanda,285
Gamma,Panem,58
Eta,Narnia,4
Beta,Middle-Earth,2
NULL,Panem,86031
NULL,Westeros,2
Alpha,Panem,55395
BA.2,Gilead,1796
NULL,Gilead,2092
BA.2,Westeros,12
Gamma,Pandora,5
BA.1,Pandora,3344
Delta,Gilead,1143
Alpha,Asgard,184
BA.2,Hogwarts,90602
NULL,Narnia,3047
Delta,Agrabah,395
Omicron,Hogwarts,574
Delta,Pandora,1264
Delta,Asgard,2351
BA.1,Gilead,1167
Delta,Middle-Earth,1109
BA.2,Wakanda,430
Beta,Gilead,3
Omicron,Gilead,1
Delta,Wakanda,888
Beta,Panem,118
Eta,Gilead,38
NULL,Neverland,2
NULL,Hogwarts,57614
BA.1,Asgard,488
Eta,Pandora,7
Delta,Hogwarts,195671
BA.1,Hogwarts,41593
NULL,Middle-Earth,5123
BA.2,Asgard,1414
BA.2,Narnia,2013
NULL,Wakanda,535
Beta,Hogwarts,57
Delta,Narnia,1745
Alpha,Gilead,566
Eta,Hogwarts,104
BA.1,Neverland,7
