LineagesOfInterest,BatchSource,StartDate,EndDate,weights
NULL,Hogwarts,2020-08-31 00.00.00.000,2020-09-06 00.00.00.000,2
NULL,Panem,2020-08-31 00.00.00.000,2020-09-06 00.00.00.000,778
NULL,Hogwarts,2020-09-07 00.00.00.000,2020-09-13 00.00.00.000,12
NULL,Middle-Earth,2020-09-07 00.00.00.000,2020-09-13 00.00.00.000,58
NULL,Panem,2020-09-07 00.00.00.000,2020-09-13 00.00.00.000,499
NULL,Hogwarts,2020-09-14 00.00.00.000,2020-09-20 00.00.00.000,13
NULL,Middle-Earth,2020-09-14 00.00.00.000,2020-09-20 00.00.00.000,36
NULL,Pandora,2020-09-14 00.00.00.000,2020-09-20 00.00.00.000,1
NULL,Panem,2020-09-14 00.00.00.000,2020-09-20 00.00.00.000,750
Alpha,Panem,2020-09-14 00.00.00.000,2020-09-20 00.00.00.000,1
NULL,Hogwarts,2020-09-21 00.00.00.000,2020-09-27 00.00.00.000,70
NULL,Pandora,2020-09-21 00.00.00.000,2020-09-27 00.00.00.000,3
NULL,Panem,2020-09-21 00.00.00.000,2020-09-27 00.00.00.000,1331
Alpha,Panem,2020-09-21 00.00.00.000,2020-09-27 00.00.00.000,1
NULL,Hogwarts,2020-09-28 00.00.00.000,2020-10-04 00.00.00.000,3
NULL,Pandora,2020-09-28 00.00.00.000,2020-10-04 00.00.00.000,3
NULL,Panem,2020-09-28 00.00.00.000,2020-10-04 00.00.00.000,674
NULL,Hogwarts,2020-10-05 00.00.00.000,2020-10-11 00.00.00.000,22
NULL,Middle-Earth,2020-10-05 00.00.00.000,2020-10-11 00.00.00.000,40
NULL,Panem,2020-10-05 00.00.00.000,2020-10-11 00.00.00.000,557
NULL,Hogwarts,2020-10-12 00.00.00.000,2020-10-18 00.00.00.000,20
NULL,Middle-Earth,2020-10-12 00.00.00.000,2020-10-18 00.00.00.000,6
NULL,Panem,2020-10-12 00.00.00.000,2020-10-18 00.00.00.000,1232
Gamma,Panem,2020-10-12 00.00.00.000,2020-10-18 00.00.00.000,1
NULL,Hogwarts,2020-10-19 00.00.00.000,2020-10-25 00.00.00.000,233
NULL,Middle-Earth,2020-10-19 00.00.00.000,2020-10-25 00.00.00.000,82
NULL,Narnia,2020-10-19 00.00.00.000,2020-10-25 00.00.00.000,2
NULL,Panem,2020-10-19 00.00.00.000,2020-10-25 00.00.00.000,665
Alpha,Panem,2020-10-19 00.00.00.000,2020-10-25 00.00.00.000,1
NULL,Gilead,2020-10-26 00.00.00.000,2020-11-01 00.00.00.000,3
NULL,Hogwarts,2020-10-26 00.00.00.000,2020-11-01 00.00.00.000,331
NULL,Middle-Earth,2020-10-26 00.00.00.000,2020-11-01 00.00.00.000,42
NULL,Pandora,2020-10-26 00.00.00.000,2020-11-01 00.00.00.000,4
NULL,Panem,2020-10-26 00.00.00.000,2020-11-01 00.00.00.000,1766
Alpha,Panem,2020-10-26 00.00.00.000,2020-11-01 00.00.00.000,2
NULL,Gilead,2020-11-02 00.00.00.000,2020-11-08 00.00.00.000,4
NULL,Hogwarts,2020-11-02 00.00.00.000,2020-11-08 00.00.00.000,540
NULL,Middle-Earth,2020-11-02 00.00.00.000,2020-11-08 00.00.00.000,20
NULL,Pandora,2020-11-02 00.00.00.000,2020-11-08 00.00.00.000,5
NULL,Panem,2020-11-02 00.00.00.000,2020-11-08 00.00.00.000,2855
Alpha,Hogwarts,2020-11-02 00.00.00.000,2020-11-08 00.00.00.000,2
Alpha,Panem,2020-11-02 00.00.00.000,2020-11-08 00.00.00.000,6
Delta,Hogwarts,2020-11-02 00.00.00.000,2020-11-08 00.00.00.000,1
NULL,Hogwarts,2020-11-09 00.00.00.000,2020-11-15 00.00.00.000,982
NULL,Panem,2020-11-09 00.00.00.000,2020-11-15 00.00.00.000,3064
Alpha,Hogwarts,2020-11-09 00.00.00.000,2020-11-15 00.00.00.000,2
Alpha,Panem,2020-11-09 00.00.00.000,2020-11-15 00.00.00.000,25
Gamma,Panem,2020-11-09 00.00.00.000,2020-11-15 00.00.00.000,1
NULL,Gilead,2020-11-16 00.00.00.000,2020-11-22 00.00.00.000,3
NULL,Hogwarts,2020-11-16 00.00.00.000,2020-11-22 00.00.00.000,1209
NULL,Middle-Earth,2020-11-16 00.00.00.000,2020-11-22 00.00.00.000,92
NULL,Pandora,2020-11-16 00.00.00.000,2020-11-22 00.00.00.000,5
NULL,Panem,2020-11-16 00.00.00.000,2020-11-22 00.00.00.000,3430
Alpha,Hogwarts,2020-11-16 00.00.00.000,2020-11-22 00.00.00.000,39
Alpha,Panem,2020-11-16 00.00.00.000,2020-11-22 00.00.00.000,47
NULL,Gilead,2020-11-23 00.00.00.000,2020-11-29 00.00.00.000,7
NULL,Hogwarts,2020-11-23 00.00.00.000,2020-11-29 00.00.00.000,1212
NULL,Middle-Earth,2020-11-23 00.00.00.000,2020-11-29 00.00.00.000,152
NULL,Pandora,2020-11-23 00.00.00.000,2020-11-29 00.00.00.000,29
NULL,Panem,2020-11-23 00.00.00.000,2020-11-29 00.00.00.000,3070
Alpha,Hogwarts,2020-11-23 00.00.00.000,2020-11-29 00.00.00.000,59
Alpha,Panem,2020-11-23 00.00.00.000,2020-11-29 00.00.00.000,47
NULL,Gilead,2020-11-30 00.00.00.000,2020-12-06 00.00.00.000,58
NULL,Hogwarts,2020-11-30 00.00.00.000,2020-12-06 00.00.00.000,1594
NULL,Middle-Earth,2020-11-30 00.00.00.000,2020-12-06 00.00.00.000,186
NULL,Pandora,2020-11-30 00.00.00.000,2020-12-06 00.00.00.000,3
NULL,Panem,2020-11-30 00.00.00.000,2020-12-06 00.00.00.000,3281
Alpha,Gilead,2020-11-30 00.00.00.000,2020-12-06 00.00.00.000,7
Alpha,Hogwarts,2020-11-30 00.00.00.000,2020-12-06 00.00.00.000,45
Alpha,Panem,2020-11-30 00.00.00.000,2020-12-06 00.00.00.000,73
NULL,Gilead,2020-12-07 00.00.00.000,2020-12-13 00.00.00.000,263
NULL,Hogwarts,2020-12-07 00.00.00.000,2020-12-13 00.00.00.000,2188
NULL,Middle-Earth,2020-12-07 00.00.00.000,2020-12-13 00.00.00.000,142
NULL,Panem,2020-12-07 00.00.00.000,2020-12-13 00.00.00.000,4271
Alpha,Gilead,2020-12-07 00.00.00.000,2020-12-13 00.00.00.000,21
Alpha,Hogwarts,2020-12-07 00.00.00.000,2020-12-13 00.00.00.000,43
Alpha,Middle-Earth,2020-12-07 00.00.00.000,2020-12-13 00.00.00.000,2
Alpha,Panem,2020-12-07 00.00.00.000,2020-12-13 00.00.00.000,94
Delta,Hogwarts,2020-12-07 00.00.00.000,2020-12-13 00.00.00.000,1
NULL,Gilead,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,117
NULL,Hogwarts,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,3201
NULL,Middle-Earth,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,182
NULL,Narnia,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,4
NULL,Pandora,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,134
NULL,Panem,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,6006
Alpha,Gilead,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,3
Alpha,Hogwarts,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,51
Alpha,Middle-Earth,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,8
Alpha,Pandora,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,2
Alpha,Panem,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,98
Delta,Hogwarts,2020-12-14 00.00.00.000,2020-12-20 00.00.00.000,6
NULL,Gilead,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,33
NULL,Hogwarts,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,2184
NULL,Middle-Earth,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,82
NULL,Narnia,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,134
NULL,Pandora,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,61
NULL,Panem,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,4237
Alpha,Agrabah,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,1
Alpha,Gilead,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,1
Alpha,Hogwarts,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,34
Alpha,Narnia,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,4
Alpha,Pandora,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,1
Alpha,Panem,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,116
Delta,Hogwarts,2020-12-21 00.00.00.000,2020-12-27 00.00.00.000,10
NULL,Gilead,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,26
NULL,Hogwarts,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,1949
NULL,Middle-Earth,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,34
NULL,Narnia,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,419
NULL,Pandora,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,38
NULL,Panem,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,4542
Alpha,Gilead,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,1
Alpha,Hogwarts,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,29
Alpha,Narnia,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,6
Alpha,Pandora,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,1
Alpha,Panem,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,101
Delta,Hogwarts,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,59
Gamma,Hogwarts,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,2
Gamma,Panem,2020-12-28 00.00.00.000,2021-01-03 00.00.00.000,3
NULL,Agrabah,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,19
NULL,Gilead,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,32
NULL,Hogwarts,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,1594
NULL,Middle-Earth,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,242
NULL,Narnia,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,599
NULL,Pandora,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,25
NULL,Panem,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,5381
NULL,Wakanda,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,1
Alpha,Agrabah,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,1
Alpha,Hogwarts,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,33
Alpha,Middle-Earth,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,4
Alpha,Narnia,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,20
Alpha,Panem,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,153
BA.1,Hogwarts,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,1
Delta,Hogwarts,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,1
Gamma,Panem,2021-01-04 00.00.00.000,2021-01-10 00.00.00.000,1
NULL,Agrabah,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,19
NULL,Gilead,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,32
NULL,Hogwarts,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,1156
NULL,Middle-Earth,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,252
NULL,Narnia,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,188
NULL,Pandora,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,31
NULL,Panem,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,6093
Alpha,Agrabah,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,3
Alpha,Gilead,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,5
Alpha,Hogwarts,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,35
Alpha,Middle-Earth,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,14
Alpha,Narnia,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,4
Alpha,Panem,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,351
Beta,Panem,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,2
Eta,Panem,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,2
Gamma,Panem,2021-01-11 00.00.00.000,2021-01-17 00.00.00.000,3
NULL,Agrabah,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,20
NULL,Gilead,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,33
NULL,Hogwarts,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,638
NULL,Middle-Earth,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,233
NULL,Narnia,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,169
NULL,Pandora,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,53
NULL,Panem,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,5122
Alpha,Agrabah,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,5
Alpha,Gilead,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,15
Alpha,Hogwarts,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,63
Alpha,Middle-Earth,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,33
Alpha,Narnia,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,14
Alpha,Pandora,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,1
Alpha,Panem,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,505
Alpha,Wakanda,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,1
Beta,Panem,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,5
Eta,Hogwarts,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,1
Eta,Panem,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,4
Gamma,Panem,2021-01-18 00.00.00.000,2021-01-24 00.00.00.000,3
NULL,Agrabah,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,21
NULL,Gilead,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,36
NULL,Hogwarts,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,43
NULL,Middle-Earth,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,253
NULL,Narnia,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,120
NULL,Pandora,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,101
NULL,Panem,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,3302
NULL,Wakanda,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,1
Alpha,Agrabah,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,15
Alpha,Gilead,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,7
Alpha,Hogwarts,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,4
Alpha,Middle-Earth,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,57
Alpha,Narnia,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,9
Alpha,Pandora,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,6
Alpha,Panem,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,534
Alpha,Wakanda,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,2
Beta,Panem,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,1
Eta,Gilead,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,1
Eta,Hogwarts,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,1
Eta,Panem,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,15
Gamma,Panem,2021-01-25 00.00.00.000,2021-01-31 00.00.00.000,7
NULL,Agrabah,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,22
NULL,Gilead,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,41
NULL,Hogwarts,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,82
NULL,Middle-Earth,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,330
NULL,Narnia,2021-02-01 00.00.00.000,2021-02-07 00.00.00.000,68
