BatchSource,DateSampling,WhoVariant,LineagesOfInterest,lineage,UnaliasedPango,Nextclade_pango,clade,weight
Panem,2020-09-01,NULL,NULL,B.1.177.24,B.1.177,B.1.177,20E (EU1),2
Panem,2020-09-01,NULL,NULL,B.1.1,B.1.1,B.1.1,20B,3
Panem,2020-09-01,NULL,NULL,B.1.36.1,B.1.36,B.1.36,20A,4
Panem,2020-09-01,NULL,NULL,B.1.1.298,B.1.1.298,B.1.1.298,20B,2
Panem,2020-09-01,NULL,NULL,B.1.221,B.1.221,B.1.221,20A,2
Panem,2020-09-01,NULL,NULL,B.1.1.269,B.1.1.269,B.1.1.269,20B,1
Panem,2020-09-01,NULL,NULL,B.1.1.272,B.1.1,B.1.1,20B,29
Panem,2020-09-01,NULL,NULL,B.1.367,B.1.367,B.1.367,20C,4
Panem,2020-09-01,NULL,NULL,B.1.1.302,B.1.1.302,B.1.1.302,20B,1
Panem,2020-09-01,NULL,NULL,B.1.1.325,B.1.1,B.1.1,20B,2
Panem,2020-09-01,NULL,NULL,B.1.177.21,B.1.177.21,B.1.177.21,20E (EU1),30
Panem,2020-09-01,NULL,NULL,B.1.1.288,B.1.1,B.1.1,20B,4
Panem,2020-09-01,NULL,NULL,B.1.177,B.1.177,B.1.177,20E (EU1),1
Panem,2020-09-01,NULL,NULL,B.1.9.5,B.1.9,B.1.9,20A,1
Panem,2020-09-01,NULL,NULL,B.1,B.1,B.1,20A,4
Panem,2020-09-01,NULL,NULL,B.1.1.277,B.1.1.277,B.1.1.277,20B,3
Panem,2020-09-01,NULL,NULL,B.1.389,B.1.389,B.1.389,20A,3
Panem,2020-09-01,NULL,NULL,AQ.2,B.1.1.39,B.1.1.39,20B,1
Panem,2020-09-01,NULL,NULL,B.1.160,B.1.160,B.1.160,20A,22
Panem,2020-09-01,NULL,NULL,B.1.177.14,B.1.177,B.1.177,20E (EU1),2
Panem,2020-09-01,NULL,NULL,B.1.1,B.1.1.44,B.1.1.44,20B,1
Panem,2020-09-01,NULL,NULL,B.1.36,B.1.36,B.1.36,20A,3
Panem,2020-09-01,NULL,NULL,B.1.258,B.1.258,B.1.258,20A,2
