DateSampling,LineagesOfInterest,weight
2021-04-15,NULL,444
2021-08-30,Delta,819
2021-08-15,NULL,64
2021-07-12,NULL,116
2021-09-21,NULL,31
2021-06-04,Alpha,684
2021-12-16,BA.1,725
2021-12-17,NULL,362
2021-06-07,NULL,94
2021-11-12,NULL,95
2021-06-03,Delta,7
2021-06-21,NULL,76
2022-02-04,Delta,1
2021-11-10,Delta,3034
2021-11-24,Delta,2016
2021-04-30,Alpha,777
2021-05-04,Alpha,900
2022-02-04,NULL,558
2021-05-16,NULL,484
2021-09-02,Delta,640
2021-01-29,NULL,410
2021-12-28,NULL,363
2021-03-18,NULL,227
2021-09-25,NULL,92
2021-02-23,Alpha,384
2022-02-24,BA.2,2082
2022-02-07,BA.2,2499
2021-12-22,BA.1,760
2022-01-06,BA.2,331
2021-03-18,Eta,28
2021-10-07,Delta,920
2021-07-07,NULL,106
2022-02-13,BA.1,143
2020-12-26,Delta,6
2021-12-13,BA.2,16
2021-09-07,NULL,37
2022-02-13,Omicron,11
2021-06-07,Delta,12
2021-12-30,Omicron,3
2021-03-01,Alpha,502
2021-12-04,Delta,3254
2021-04-03,Alpha,601
2021-11-15,Delta,2466
2021-02-26,Alpha,548
2021-07-21,NULL,112
2020-11-18,NULL,380
2021-08-05,NULL,160
2022-01-17,BA.2,1931
2021-12-24,BA.1,366
2021-09-24,Delta,384
2021-11-03,NULL,158
2020-09-25,NULL,152
2021-11-24,NULL,157
2021-02-13,NULL,196
2022-02-15,NULL,219
2021-05-08,Delta,3
2022-01-03,Omicron,12
2022-01-11,Delta,35
2021-01-06,Alpha,24
2021-06-11,Delta,6
2021-04-23,Gamma,3
2021-11-12,Delta,1516
2021-07-21,Delta,1086
2021-05-15,NULL,157
2020-11-29,NULL,671
2021-03-03,Alpha,397
2021-06-02,Alpha,860
2021-01-27,NULL,545
2021-12-21,BA.1,857
2022-01-28,BA.1,262
2022-01-08,BA.2,356
2021-12-14,BA.1,534
2021-03-21,Alpha,463
2021-06-26,Alpha,97
2021-05-18,NULL,218
2021-08-12,NULL,59
2021-03-27,NULL,204
2022-01-05,BA.2,483
2021-06-29,NULL,60
2021-08-02,NULL,47
2021-11-07,NULL,137
2020-10-18,NULL,252
2021-06-23,Alpha,179
2021-06-28,NULL,33
2021-01-07,Alpha,14
2021-12-25,BA.2,66
2020-09-18,Alpha,1
2021-07-16,Gamma,1
2022-01-15,Omicron,6
2021-04-02,Eta,3
2021-05-24,Beta,2
2021-07-30,Alpha,7
2022-02-20,Omicron,1
2021-05-07,Beta,3
2021-05-06,Delta,7
2020-11-27,Alpha,28
2021-06-01,Gamma,2
2022-01-31,Delta,6
2021-04-21,Beta,3
2020-11-07,Alpha,3
2021-01-26,Gamma,3
2021-02-11,Eta,1
2021-02-13,Eta,1
2021-05-23,Delta,3
2022-02-27,Delta,1
2021-12-10,BA.2,2
2021-01-27,Eta,3
2022-02-09,Delta,1
2020-11-04,Alpha,1
2022-02-22,Omicron,1
2021-09-06,Alpha,1
2021-02-03,Gamma,1
2021-08-28,Alpha,2
2021-02-12,Beta,1
2021-09-07,Alpha,1
2020-10-12,Gamma,1
2021-10-04,Delta,559
2020-09-16,NULL,114
2021-11-11,Delta,2064
2022-02-08,NULL,334
2021-11-13,NULL,172
2020-10-05,NULL,114
2021-07-25,Delta,826
2022-03-01,BA.2,2198
2022-02-16,Omicron,9
