LineagesOfInterest,DateSampling,BatchSource,weights
Alpha,2021-05-21,Panem,409
NULL,2020-09-09,Middle-Earth,12
BA.1,2022-01-11,Middle-Earth,75
NULL,2022-01-17,Pandora,38
NULL,2021-12-15,Pandora,21
NULL,2022-02-15,Narnia,10
BA.2,2021-12-21,Pandora,6
BA.1,2022-01-26,Pandora,39
Delta,2022-01-02,Wakanda,4
BA.2,2022-01-09,Pandora,37
NULL,2021-08-11,Asgard,8
Alpha,2021-04-29,Wakanda,5
NULL,2021-11-19,Hogwarts,80
NULL,2022-01-24,Pandora,57
NULL,2020-10-28,Hogwarts,58
NULL,2021-02-04,Gilead,3
BA.1,2021-12-18,Pandora,46
Alpha,2021-04-26,Hogwarts,222
Alpha,2021-05-21,Agrabah,3
NULL,2021-06-01,Hogwarts,112
BA.2,2022-02-20,Narnia,66
Alpha,2020-11-24,Hogwarts,14
NULL,2020-11-17,Middle-Earth,46
Delta,2021-08-02,Asgard,32
NULL,2021-01-14,Narnia,28
NULL,2020-11-02,Hogwarts,80
Alpha,2021-03-12,Pandora,3
Alpha,2021-01-20,Middle-Earth,6
NULL,2021-08-30,Wakanda,4
Alpha,2021-03-14,Pandora,5
NULL,2022-01-11,Wakanda,3
Delta,2021-06-11,Hogwarts,6
Alpha,2021-03-31,Gilead,3
NULL,2021-12-12,Gilead,5
Delta,2021-10-25,Wakanda,6
NULL,2021-04-26,Gilead,6
Delta,2021-11-07,Agrabah,3
Alpha,2021-05-04,Panem,830
Alpha,2021-06-10,Hogwarts,400
NULL,2021-04-11,Panem,101
Alpha,2021-06-27,Hogwarts,134
Eta,2021-03-18,Hogwarts,5
Alpha,2021-05-17,Gilead,9
Delta,2021-07-29,Hogwarts,822
NULL,2021-01-16,Narnia,8
NULL,2021-04-15,Wakanda,10
BA.1,2022-02-07,Asgard,5
NULL,2021-03-09,Pandora,14
BA.2,2021-12-18,Hogwarts,39
BA.1,2022-02-04,Middle-Earth,3
Alpha,2020-12-22,Panem,7
NULL,2021-12-25,Pandora,24
BA.1,2022-01-17,Agrabah,3
Alpha,2021-06-07,Agrabah,6
Alpha,2021-03-21,Gilead,9
Delta,2022-01-11,Asgard,4
Alpha,2021-04-18,Panem,539
Delta,2021-08-17,Asgard,19
BA.1,2022-01-04,Asgard,11
NULL,2020-12-30,Hogwarts,303
Alpha,2021-02-24,Agrabah,5
Delta,2021-12-22,Hogwarts,289
NULL,2021-02-15,Agrabah,6
Delta,2022-01-19,Hogwarts,4
NULL,2020-11-20,Middle-Earth,12
Alpha,2021-04-14,Gilead,3
NULL,2021-11-17,Pandora,5
Alpha,2021-01-07,Panem,7
BA.1,2022-01-25,Narnia,23
Alpha,2021-05-04,Agrabah,3
NULL,2022-01-15,Narnia,8
NULL,2022-01-01,Asgard,6
Omicron,2022-02-01,Hogwarts,8
NULL,2021-03-19,Pandora,3
NULL,2021-09-05,Hogwarts,70
Alpha,2020-11-28,Panem,10
NULL,2021-05-05,Hogwarts,9
Delta,2021-10-25,Asgard,25
BA.2,2022-01-05,Gilead,11
Beta,2021-01-19,Panem,5
Delta,2021-12-24,Pandora,11
NULL,2021-05-11,Panem,167
BA.2,2022-01-11,Pandora,86
NULL,2021-04-08,Pandora,7
Delta,2021-08-23,Narnia,17
NULL,2022-02-28,Narnia,15
NULL,2020-10-05,Panem,109
NULL,2021-01-25,Pandora,18
NULL,2022-02-27,Hogwarts,109
Delta,2021-12-06,Pandora,24
NULL,2021-04-13,Hogwarts,13
BA.2,2022-01-29,Middle-Earth,57
Delta,2021-11-25,Asgard,21
Delta,2021-11-01,Neverland,3
Delta,2021-07-30,Narnia,11
Delta,2021-08-26,Hogwarts,1171
BA.2,2021-12-31,Narnia,4
BA.2,2022-01-18,Hogwarts,1608
Alpha,2021-02-27,Panem,266
NULL,2021-12-13,Middle-Earth,8
NULL,2022-02-02,Middle-Earth,84
NULL,2021-02-06,Pandora,3
Delta,2021-08-02,Gilead,6
BA.1,2022-01-20,Pandora,54
BA.1,2021-12-28,Middle-Earth,68
NULL,2022-01-05,Hogwarts,152
NULL,2020-09-14,Panem,163
NULL,2021-01-26,Middle-Earth,57
Delta,2021-08-30,Asgard,16
Alpha,2021-04-15,Hogwarts,195
BA.2,2022-01-28,Pandora,122
Alpha,2021-06-03,Pandora,3
Alpha,2021-01-25,Panem,83
NULL,2021-03-29,Agrabah,4
Alpha,2021-05-22,Narnia,5
NULL,2021-04-26,Wakanda,4
NULL,2021-09-07,Asgard,3
Delta,2021-10-21,Wakanda,10
Alpha,2021-08-02,Hogwarts,6
Delta,2022-01-02,Asgard,9
Alpha,2021-05-30,Asgard,6
Alpha,2021-04-17,Gilead,7
NULL,2022-02-23,Gilead,19
NULL,2021-04-27,Panem,210
NULL,2020-12-01,Panem,335
NULL,2021-07-21,Hogwarts,111
NULL,2022-01-18,Pandora,57
NULL,2020-11-29,Panem,594
Alpha,2021-05-24,Panem,106
NULL,2021-02-05,Panem,365
Delta,2022-01-03,Pandora,7
