QcScore,SequenceExclude,ManualExclude,weight
NULL,TooManyNs,NULL,40170
NULL,neg_contamination;mixed_strain,NULL,843
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Sample,9
Pass,ManuallyExcluded,Manually_Excluded_Run,6546
NULL,TooManyNs;MixedStrain,NULL,469
NULL,reg_replicate,NULL,84
NULL,neg_contamination;mixed_strain;reg_replicate,NULL,5
NULL,MixedStrain,NULL,1419
Fail: Too many Ns,TooManyNs;NegContamination,NULL,64
NULL,mixed_strain;TooManyNs,NULL,8
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,1145
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Run,1988
NULL,neg_contamination;TooManyNs,NULL,1324
NULL,neg_contamination;mixed_strain;TooManyNs,NULL,41
Fail: Too many Ns,TooManyNs;NegContamination;ManuallyExcluded,Manually_Excluded_Run,8
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,1855
Fail: Too many Ns,TooManyNs,NULL,30654
Fail: Mixed strain,MixedStrain,NULL,8626
Fail: Neg. Contamination,NegContamination,NULL,1997
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Sample,27
Fail: Mixed strain,NegContamination;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,19
Pass,ManuallyExcluded,Manually_Excluded_Plate,18482
Pass,ManuallyExcluded,Manually_Excluded_Sample,8651
Fail: Mixed strain,NegContamination;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,2
NULL,neg_contamination;;TooManyNs,NULL,61
NULL,reg_replicate;TooManyNs,NULL,35
Fail: Mixed strain,MixedStrain;ManuallyExcluded,Manually_Excluded_Run,905
Fail: Mixed strain,NegContamination;MixedStrain,NULL,96
NULL,long_branch,NULL,3
Pass,NULL,NULL,324279
Fail: Neg. Contamination,NegContamination;ManuallyExcluded,Manually_Excluded_Plate,488
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,377
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Sample,75
Fail: Too many Ns,TooManyNs;NegContamination;ManuallyExcluded,Manually_Excluded_Plate,18
NULL,mixed_strain,NULL,2947
Fail: Neg. Contamination,NegContamination;ManuallyExcluded,Manually_Excluded_Run,167
NULL,NULL,NULL,145210
Fail: Mixed strain,TooManyNs;NegContamination;MixedStrain,NULL,38
Fail: Mixed strain,TooManyNs;NegContamination;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,1
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Plate,5948
NULL,neg_contamination,NULL,2787
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,3210
NULL,mixed_strain;reg_replicate,NULL,5
