NCount,amount_seen
630,133
172,542
29870,359
372,232
281,282
286,188
1018,131
53,182
469,122
895,44
885,52
1167,37
818,38
113,1591
83,1995
563,115
241,205
848,50
29838,304
291,145
623,101
657,84
1103,32
835,35
529,94
662,67
1494,32
677,97
444,113
462,113
580,88
29382,71
355,189
583,69
1056,59
610,77
576,81
1006,36
870,38
920,40
66,323
73,2926
308,186
1281,69
36,418
415,449
236,217
494,127
422,149
667,84
276,281
682,78
1875,35
1231,51
831,52
627,80
147,18049
321,216
274,616
687,100
100,1456
1469,40
865,47
712,44
959,38
254,198
449,129
19,56
261,208
1865,43
1086,33
29845,38
1256,35
798,51
1093,32
984,45
474,113
1053,53
358,192
238,178
1190,36
69,2122
664,86
681,100
424,136
102,1705
59,239
560,77
331,189
9,120
231,237
288,166
305,183
425,175
1191,50
460,150
613,88
1820,76
435,137
1888,32
1455,40
800,50
290,182
1217,55
841,70
653,94
3553,51
528,97
1123,33
1097,32
732,58
934,76
936,50
1835,31
1070,48
919,41
1004,40
851,46
137,571
485,120
50,342
1029,104
578,104
764,59
392,251
1861,64
27934,77
1122,32
969,132
29840,558
671,73
543,91
815,41
29872,1638
503,89
596,101
222,224
721,50
868,71
1054,60
1242,50
747,50
647,80
77,2706
127,1105
696,107
714,174
553,100
628,76
170,414
237,205
1002,69
1019,122
646,90
399,546
356,211
492,152
493,199
603,124
34,105
1087,34
909,41
128,1031
195,360
383,266
790,47
1216,197
977,73
451,132
758,47
60,190
690,535
518,107
180,313
25,47
824,37
35,180
1055,52
571,98
705,61
877,41
1200,44
1012,69
1081,33
1283,81
1556,34
611,115
826,47
867,46
178,374
85,1286
722,62
450,326
323,165
357,188
809,44
622,83
629,70
1436,44
1887,60
1827,35
196,466
461,128
29873,2620
75,1627
654,96
382,196
561,72
185,403
554,118
248,257
289,197
987,89
894,91
8,112
246,966
501,103
1878,68
433,123
994,102
29839,428
314,177
263,209
348,162
799,52
1045,91
586,88
892,34
1037,53
17,42
858,38
679,63
833,51
1105,32
773,44
926,55
1028,101
884,48
93,769
519,135
272,240
186,313
86,746
153,695
459,156
925,58
306,170
1020,186
1003,40
510,139
0,251
409,230
697,59
255,196
791,52
544,85
748,59
374,258
1811,53
816,45
1174,35
825,48
918,49
612,87
1038,51
1275,31
731,57
1904,38
765,44
1360,31
945,51
211,1084
118,2128
138,580
850,40
569,83
204,264
476,108
716,56
757,47
18,55
29805,47
1107,39
315,170
587,214
935,58
43,324
187,357
136,629
1879,36
1905,31
143,479
442,118
1207,45
408,165
1181,42
1607,93
509,82
680,75
952,37
782,49
340,288
247,271
1106,52
154,614
68,487
1013,51
663,85
33,81
1173,43
341,193
221,219
970,104
391,240
986,45
1039,43
637,89
1156,32
1063,39
1206,41
784,34
197,424
325,294
558,83
385,242
152,582
746,53
1949,51
167,363
546,96
932,56
1204,72
741,42
1137,44
1083,31
1276,33
707,73
29808,118
120,680
902,137
271,186
70,1164
150,651
929,990
573,75
16,65
63,309
370,207
1036,105
751,45
1108,50
496,103
989,42
256,199
360,187
390,240
922,40
1516,51
766,50
224,284
202,335
882,50
954,177
801,200
88,1903
734,60
103,1625
771,43
338,171
694,137
410,421
117,750
405,211
1553,58
375,211
533,78
796,35
