QcScore,SequenceExclude,ManualExclude,weight
NULL,neg_contamination;mixed_strain;TooManyNs,NULL,1
NULL,neg_contamination;TooManyNs,NULL,133
NULL,TooManyNs,NULL,6
NULL,TooManyNs,NULL,9
NULL,TooManyNs,NULL,12
NULL,TooManyNs,NULL,44
NULL,TooManyNs,NULL,73
NULL,TooManyNs,NULL,5343
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Run,1
Fail: Too many Ns,TooManyNs,NULL,18
Fail: Too many Ns,TooManyNs,NULL,50
Fail: Too many Ns,TooManyNs,NULL,79
Fail: Too many Ns,TooManyNs,NULL,3755
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Plate,206
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Run,1
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Sample,1
Fail: Too many Ns,TooManyNs;NegContamination,NULL,2
NULL,TooManyNs,NULL,10
NULL,TooManyNs,NULL,13
NULL,TooManyNs,NULL,16
NULL,TooManyNs,NULL,77
NULL,TooManyNs,NULL,135
Fail: Too many Ns,TooManyNs,NULL,14
Fail: Too many Ns,TooManyNs,NULL,17
Fail: Too many Ns,TooManyNs,NULL,23
Fail: Too many Ns,TooManyNs,NULL,49
Fail: Too many Ns,TooManyNs,NULL,104
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Plate,1
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Plate,91
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Plate,268
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Run,2
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Run,5
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Run,147
Fail: Too many Ns,TooManyNs;NegContamination,NULL,1
Fail: Too many Ns,TooManyNs;NegContamination,NULL,4
NULL,neg_contamination;TooManyNs,NULL,2
NULL,neg_contamination;TooManyNs,NULL,5
NULL,TooManyNs,NULL,3
NULL,TooManyNs,NULL,23
NULL,TooManyNs,NULL,26
NULL,TooManyNs,NULL,29
NULL,TooManyNs,NULL,32
NULL,TooManyNs,NULL,61
NULL,TooManyNs,NULL,84
Fail: Mixed strain,TooManyNs;MixedStrain,NULL,1
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,3
Fail: Too many Ns,TooManyNs,NULL,1
Fail: Too many Ns,TooManyNs,NULL,4
Fail: Too many Ns,TooManyNs,NULL,7
Fail: Too many Ns,TooManyNs,NULL,33
Fail: Too many Ns,TooManyNs,NULL,155
Fail: Too many Ns,TooManyNs,NULL,2176
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Plate,5
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Plate,8
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Plate,14
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Plate,37
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Plate,66
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Plate,255
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Run,12
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Run,47
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Run,50
Fail: Too many Ns,TooManyNs;ManuallyExcluded,Manually_Excluded_Sample,4
Fail: Too many Ns,TooManyNs;NegContamination;ManuallyExcluded,Manually_Excluded_Plate,1
Fail: Too many Ns,TooManyNs;NegContamination;ManuallyExcluded,Manually_Excluded_Plate,4
NULL,neg_contamination;TooManyNs,NULL,25
NULL,TooManyNs,NULL,1
NULL,TooManyNs,NULL,4
NULL,TooManyNs,NULL,7
NULL,TooManyNs,NULL,27
NULL,TooManyNs,NULL,33
NULL,TooManyNs,NULL,36
NULL,TooManyNs,NULL,59
NULL,TooManyNs,NULL,62
NULL,TooManyNs,NULL,396
NULL,TooManyNs,NULL,399
NULL,TooManyNs;MixedStrain,NULL,3
Fail: Mixed strain,TooManyNs;MixedStrain;ManuallyExcluded,Manually_Excluded_Plate,2
