Nextclade_pango,clade,lineage,UnaliasedPango,LineagesOfInterest,WhoVariant,amount_nextclade_pangos
BA.1.1.16,21K (Omicron),BA.1.1,B.1.1.529.1.1.16,BA.1,Omicron,2
B.1.1.519,20B,B.1.1.519,B.1.1.519,NULL,NULL,239
BA.1,21K (Omicron),BA.1.1.15,B.1.1.529.1,BA.1,Omicron,1
B.1.618,20A,B.1,B.1.618,NULL,NULL,1
BA.1.6,21K (Omicron),BA.1,B.1.1.529.1.6,BA.1,Omicron,5
B.1.1,20B,B.1.1.25,B.1.1,NULL,NULL,1
BA.2,21L (Omicron),BA.2,B.1.1.529.2,BA.2,Omicron,74540
BA.1.1.15,21K (Omicron),BA.1.1.15,B.1.1.529.1.1.15,BA.1,Omicron,163
AY.43,21J (Delta),AY.43.7,B.1.617.2.43,Delta,Delta,9
B.1,20A,AY.126,B.1,NULL,NULL,2
AY.116.1,21J (Delta),AY.116,B.1.617.2.116.1,Delta,Delta,1
B.1.1.378,20B,D.5,B.1.1.378,NULL,NULL,1
AY.4.2,21J (Delta),AY.4.2,B.1.617.2.4.2,Delta,Delta,4438
BA.1.16.1,21K (Omicron),BA.1.16,B.1.1.529.1.16.1,BA.1,Omicron,3
AY.132,21J (Delta),AY.132,B.1.617.2.132,Delta,Delta,678
AY.84,21J (Delta),AY.84,B.1.617.2.84,Delta,Delta,46
A.27,19B,A.27,A.27,NULL,NULL,4
AY.32,21J (Delta),AY.32,B.1.617.2.32,Delta,Delta,79
XE,recombinant,BA.2.10,XE,NULL,NULL,1
BA.1.15.1,21K (Omicron),BA.1.15.1,B.1.1.529.1.15.1,BA.1,Omicron,262
B.1,20A,B.1.36.1,B.1,NULL,NULL,1
B.1.1.181,20B,B.1.1.425,B.1.1.181,NULL,NULL,7
AY.6,21J (Delta),AY.6,B.1.617.2.6,Delta,Delta,753
B.1,20A,B.1.36,B.1,NULL,NULL,8
B.1.391,20A,B.1.88.1,B.1.391,NULL,NULL,1
BA.2.9,21L (Omicron),BA.2.9,B.1.1.529.2.9,BA.2,Omicron,28962
B.1.36.9,20A,B.1.36.9,B.1.36.9,NULL,NULL,10
AY.92,21J (Delta),AY.92,B.1.617.2.92,Delta,Delta,320
B.1.617.2,21A (Delta),AY.53,B.1.617.2,Delta,Delta,1
AY.9,21I (Delta),AY.9,B.1.617.2.9,Delta,Delta,225
AY.103,21J (Delta),AY.103,B.1.617.2.103,Delta,Delta,86
AY.4,21J (Delta),AY.4.9,B.1.617.2.4,Delta,Delta,218
B.1,20A,B.1.88.1,B.1,NULL,NULL,14
P.1.17.1,20J (Gamma; V3),P.1.17.1,B.1.1.28.1.17.1,Gamma,Gamma,5
B.1.36,20A,B.1.36.1,B.1.36,NULL,NULL,9
AY.26,21I (Delta),AY.26,B.1.617.2.26,Delta,Delta,25
XZ,recombinant,BA.2.51,XZ,NULL,NULL,1
B.1.1.153,20B,B.1.1.153,B.1.1.153,NULL,NULL,426
B.1.617.2,21J (Delta),AY.4.13,B.1.617.2,Delta,Delta,2
BA.2.23,21L (Omicron),BA.2.23,B.1.1.529.2.23,BA.2,Omicron,3
BA.2,21L (Omicron),BA.2.71,B.1.1.529.2,BA.2,Omicron,1
B.1.617.2,21J (Delta),AY.36,B.1.617.2,Delta,Delta,13
B.1.1,20B,B.1.1.376,B.1.1,NULL,NULL,2
B.1.1.307,20B,B.1.1.307,B.1.1.307,NULL,NULL,4
AY.4,21J (Delta),AY.6,B.1.617.2.4,Delta,Delta,1
B.1.160.16,20A,B.1.160,B.1.160.16,NULL,NULL,5
Q.1,20I (Alpha; V1),Q.1,B.1.1.7.1,Alpha,Alpha,183
B.1.617.2,21J (Delta),AY.4.9,B.1.617.2,Delta,Delta,1
B.1.177,20E (EU1),B.1.177.69,B.1.177,NULL,NULL,1
B.1,20A,B.1.471,B.1,NULL,NULL,1
AY.5,21J (Delta),AY.5.4,B.1.617.2.5,Delta,Delta,24
AY.41,21J (Delta),AY.41,B.1.617.2.41,Delta,Delta,71
BA.2,21L (Omicron),BA.2.6,B.1.1.529.2,BA.2,Omicron,4
B.1,20A,AY.9.2,B.1,NULL,NULL,1
B.1.1.348,20B,B.1.1.348,B.1.1.348,NULL,NULL,10
AY.122,21J (Delta),AY.32,B.1.617.2.122,Delta,Delta,1
AY.70,21I (Delta),B.1.617.2,B.1.617.2.70,Delta,Delta,1
B.1.1,20B,B.1.1.333,B.1.1,NULL,NULL,1
B.1.617.2,21J (Delta),AY.46.2,B.1.617.2,Delta,Delta,1
C.36.3.1,20D,C.36.3.1,B.1.1.1.36.3.1,NULL,NULL,2
B.1.177,20E (EU1),B.1.177.82,B.1.177,NULL,NULL,1
AY.98.1,21J (Delta),AY.98,B.1.617.2.98.1,Delta,Delta,9
B.1.639,20A,B.1.639,B.1.639,NULL,NULL,1
AY.43.4,21J (Delta),AY.43.4,B.1.617.2.43.4,Delta,Delta,6
BA.1.8,21K (Omicron),BA.1.8,B.1.1.529.1.8,BA.1,Omicron,35
B.1.351,20H (Beta; V2),B.1.351,B.1.351,Beta,Beta,180
B.1.1.374,20B,B.1.1.374,B.1.1.374,NULL,NULL,9
B.1.177.86,20E (EU1),B.1.177.86,B.1.177.86,NULL,NULL,2168
B.1.160,20A,B.1.1,B.1.160,NULL,NULL,1
AY.112.3,21J (Delta),AY.112,B.1.617.2.112.3,Delta,Delta,1
B.1,20A,B.1.463,B.1,NULL,NULL,1
AY.120.2.1,21J (Delta),AY.120.2.1,B.1.617.2.120.2.1,Delta,Delta,1371
AY.5.4,21J (Delta),AY.5.4,B.1.617.2.5.4,Delta,Delta,55
AY.128,21J (Delta),AY.128,B.1.617.2.128,Delta,Delta,9
AY.4.2.2,21J (Delta),AY.4.2.2,B.1.617.2.4.2.2,Delta,Delta,76
Q.4,20I (Alpha; V1),Q.4,B.1.1.7.4,Alpha,Alpha,90
B.1.1.216,20B,B.1.1.216,B.1.1.216,NULL,NULL,4
XAP,recombinant,BA.2,XAP,NULL,NULL,2
B.1.1,20B,BA.2,B.1.1,NULL,NULL,3
C.36,20D,C.36,B.1.1.1.36,NULL,NULL,78
B.1.1,20B,B.1.1.298,B.1.1,NULL,NULL,12
AY.4,21J (Delta),BA.1,B.1.617.2.4,Delta,Delta,1
