qc.mixedSites.totalMixedSites,amount_nextclade_pangos
0,319428
33,41
18,185
43,36
68,3
136,10
138,2
143,2
153,1
86,1
154,1
19,171
36,41
83,4
66,9
100,2
73,2
53,4
147,1
NULL,85645
13,392
65,10
38,67
133,9
140,7
81,2
132,3
72,2
15,284
32,60
146,4
47,13
45,26
79,2
126,1
24,88
144,3
44,24
51,10
76,4
145,1
101,1
119,1
1,105618
11,750
26,65
41,61
31,56
58,5
130,2
3,23250
4,11405
30,59
23,104
39,69
71,4
64,6
139,6
90,1
54,6
91,1
5,5234
37,52
134,5
141,4
84,2
104,1
94,2
9,933
50,11
34,34
59,7
69,4
127,1
77,3
137,2
16,243
48,11
70,3
88,2
63,7
12,527
22,111
29,64
56,8
149,1
2,47568
42,31
27,84
131,4
52,7
49,6
62,9
67,5
129,3
92,2
8,1248
60,11
17,257
25,81
35,31
85,3
128,3
6,2898
28,77
21,111
135,7
142,6
46,19
61,5
125,1
78,1
14,292
157,1
55,8
80,1
123,1
7,1885
10,873
20,128
40,62
57,11
87,2
74,1
