qc.mixedSites.totalMixedSites,Min_score,Max_score,counted
0,0,2606,319428
18,324,3849,185
136,18525,18595,10
68,4686,5093,3
43,1849,2249,36
33,1089,2086,41
143,20464,20483,2
138,19058,19079,2
153,23426,23426,1
154,23807,23807,1
86,7425,7425,1
19,361,2448,171
66,4356,5006,9
36,1296,2580,41
100,10122,10315,2
83,6945,7032,4
53,2809,2986,4
73,5329,5385,2
147,21658,21658,1
NULL,NULL,NULL,85645
13,169,2465,392
38,1444,4423,67
65,4225,4531,10
132,17455,17470,3
133,17712,17945,9
140,19619,19689,7
81,6605,6618,2
72,5218,5308,2
15,225,3701,284
32,1024,5413,60
47,2300,2805,13
45,2025,2476,26
146,21352,21393,4
79,6387,6608,2
126,15908,15908,1
24,576,2701,88
76,5815,5967,4
44,1936,4192,24
51,2601,2851,10
101,10526,10526,1
144,20774,20821,3
145,21077,21077,1
119,14175,14175,1
12,144,2321,527
22,484,2701,111
29,841,2310,64
56,3136,4275,8
149,22232,22232,1
2,4,1943,47568
27,729,3254,84
42,1764,2270,31
52,2743,2995,7
131,17171,17229,4
62,3844,4056,9
92,8534,8555,2
49,2486,3022,6
129,16651,16680,3
67,4491,4528,5
8,64,2425,1248
17,289,2191,257
25,625,3406,81
128,16400,16431,3
60,3602,4016,11
35,1225,2479,31
85,7269,7361,3
6,36,2086,2898
21,441,3222,111
28,784,4560,77
135,18244,18305,7
46,2116,2622,19
142,20184,20251,6
61,3742,4860,5
78,6118,6118,1
125,15641,15641,1
14,196,1633,292
55,3025,3171,8
80,6476,6476,1
157,24702,24702,1
123,15155,15155,1
7,49,1005,1885
10,100,2925,873
20,400,4025,128
40,1600,5003,62
57,3249,3670,11
87,7583,7936,2
74,5505,5505,1
1,1,951,105618
11,121,4566,750
26,676,3565,65
41,1681,2097,61
58,3368,3530,5
31,961,4292,56
130,16937,16976,2
3,9,1948,23250
4,16,1607,11405
30,900,4475,59
54,2916,4378,6
23,529,2504,104
39,1521,2396,69
64,4125,4530,6
71,5041,5253,4
139,19336,19416,6
91,8293,8293,1
90,8176,8176,1
5,25,1025,5234
37,1369,2887,52
134,17968,18025,5
141,19894,19972,4
94,8850,8865,2
84,7118,7620,2
104,11161,11161,1
9,81,2775,933
34,1156,2857,34
59,3481,4735,7
50,2500,2851,11
69,4761,4907,4
77,5993,6250,3
137,18782,18834,2
127,16166,16166,1
16,256,4398,243
48,2304,2916,11
70,4952,5125,3
88,7744,8084,2
63,3975,4027,7
